timestamp,raw_value,attention,label
1646086352.820103,26,30,1
1646086352.821273,28,30,1
1646086352.8227,28,30,1
1646086352.823947,28,30,1
1646086352.82963,26,30,1
1646086352.829702,27,30,1
1646086352.829768,35,30,1
1646086352.829962,36,30,1
1646086352.830039,35,30,1
1646086352.830105,33,30,1
1646086352.8301692,29,30,1
1646086352.8302321,28,30,1
1646086352.830296,22,30,1
1646086352.8303602,16,30,1
1646086352.830423,11,30,1
1646086352.830486,12,30,1
1646086352.830549,16,30,1
1646086352.830613,16,30,1
1646086352.830676,11,30,1
1646086352.830739,1,30,1
1646086352.830803,-7,30,1
1646086352.830867,-7,30,1
1646086352.830931,-3,30,1
1646086352.830994,3,30,1
1646086352.831058,0,30,1
1646086352.831272,-6,30,1
1646086352.83135,-8,30,1
1646086352.8314161,-7,30,1
1646086352.831481,-4,30,1
1646086352.831545,-2,30,1
1646086352.831609,1,30,1
1646086352.8316731,-3,30,1
1646086352.831737,-9,30,1
1646086352.83182,-11,30,1
1646086352.8318841,-12,30,1
1646086352.831948,-7,30,1
1646086352.832012,-4,30,1
1646086352.832076,-7,30,1
1646086352.8327281,-10,30,1
1646086352.83394,-10,30,1
1646086352.835068,-9,30,1
1646086352.8377202,-10,30,1
1646086352.838937,-14,30,1
1646086352.840087,-20,30,1
1646086352.841412,-12,30,1
1646086352.8424819,-1,30,1
1646086352.8439648,4,30,1
1646086352.8464751,4,30,1
1646086352.8490171,5,30,1
1646086352.850228,7,30,1
1646086352.852725,9,30,1
1646086352.854024,11,30,1
1646086352.856454,16,30,1
1646086352.8577049,16,30,1
1646086352.8602319,7,30,1
1646086352.861505,0,30,1
1646086352.864034,-3,30,1
1646086352.8663738,-2,30,1
1646086352.867732,1,30,1
1646086352.8702452,4,30,1
1646086352.8714318,4,30,1
1646086352.874028,5,30,1
1646086352.876488,4,30,1
1646086352.877702,2,30,1
1646086352.8802528,3,30,1
1646086352.8814878,8,30,1
1646086352.884063,11,30,1
1646086352.8851871,9,30,1
1646086352.887736,11,30,1
1646086352.889033,20,30,1
1646086352.891381,25,30,1
1646086352.8925152,27,30,1
1646086352.8952909,21,30,1
1646086352.8977122,9,30,1
1646086352.899165,10,30,1
1646086352.9014962,19,30,1
1646086352.902755,22,30,1
1646086352.9052212,20,30,1
1646086352.9077199,12,30,1
1646086352.909086,9,30,1
1646086352.910188,5,30,1
1646086352.91403,3,30,1
1646086352.915251,3,30,1
1646086352.916519,2,30,1
1646086352.919056,-5,30,1
1646086352.92022,-11,30,1
1646086352.922765,-8,30,1
1646086352.9239502,1,30,1
1646086352.9264371,7,30,1
1646086352.9579022,4,30,1
1646086352.9590259,-5,30,1
1646086352.96019,-10,30,1
1646086352.9627578,-12,30,1
1646086352.966063,-12,30,1
1646086352.966135,-10,30,1
1646086352.966201,-11,30,1
1646086352.9662652,-14,30,1
1646086352.966329,-21,30,1
1646086352.966393,-26,30,1
1646086352.9664571,-24,30,1
1646086352.9665222,-27,30,1
1646086352.9665852,-42,30,1
1646086352.96665,-53,30,1
1646086352.9667141,-56,30,1
1646086352.966777,-65,30,1
1646086352.966841,-71,30,1
1646086352.966905,-86,30,1
1646086352.967746,-104,30,1
1646086352.969053,-113,30,1
1646086352.970196,-118,30,1
1646086352.971509,-133,30,1
1646086352.972773,-139,30,1
1646086352.97509,-131,30,1
1646086352.976525,-126,30,1
1646086352.977727,-135,30,1
1646086352.979033,-134,30,1
1646086352.981479,-104,30,1
1646086352.982728,-60,30,1
1646086352.985224,-50,30,1
1646086352.986486,-53,30,1
1646086352.9889972,-35,30,1
1646086352.991511,-19,30,1
1646086352.9927418,-27,30,1
1646086352.995223,-39,30,1
1646086352.9965482,-38,30,1
1646086352.9990232,-27,30,1
1646086353.00017,-19,30,1
1646086353.0027468,-4,30,1
1646086353.0052328,24,30,1
1646086353.006488,45,30,1
1646086353.009006,44,30,1
1646086353.0100439,26,30,1
1646086353.012794,20,30,1
1646086353.013999,50,30,1
1646086353.016491,73,30,1
1646086353.018979,81,30,1
1646086353.020226,84,30,1
1646086353.022729,84,30,1
1646086353.025263,80,30,1
1646086353.0263429,81,30,1
1646086353.0278022,93,30,1
1646086353.0302489,106,30,1
1646086353.03155,99,30,1
1646086353.034009,73,30,1
1646086353.0365398,48,30,1
1646086353.037807,32,30,1
1646086353.0402079,39,30,1
1646086353.041545,65,30,1
1646086353.044034,76,30,1
1646086353.045265,73,30,1
1646086353.047746,56,30,1
1646086353.050248,34,30,1
1646086353.0515358,23,30,1
1646086353.053898,19,30,1
1646086353.055276,5,30,1
1646086353.112918,-13,30,1
1646086353.1141372,-10,30,1
1646086353.115211,5,30,1
1646086353.117697,18,30,1
1646086353.1231139,28,30,1
1646086353.123189,28,30,1
1646086353.123255,22,30,1
1646086353.123321,23,30,1
1646086353.1233861,39,30,1
1646086353.123449,49,30,1
1646086353.123513,44,30,1
1646086353.123577,41,30,1
1646086353.123641,43,30,1
1646086353.123805,57,30,1
1646086353.123871,74,30,1
1646086353.123935,76,30,1
1646086353.123998,68,30,1
1646086353.124062,60,30,1
1646086353.124136,72,30,1
1646086353.1241999,93,30,1
1646086353.1242628,100,30,1
1646086353.124327,98,30,1
1646086353.1243908,87,30,1
1646086353.1244538,87,30,1
1646086353.124518,90,30,1
1646086353.1245818,88,30,1
1646086353.124646,86,30,1
1646086353.1247098,91,30,1
1646086353.124773,103,30,1
1646086353.124925,112,30,1
1646086353.12499,108,30,1
1646086353.125054,100,30,1
1646086353.1251168,92,30,1
1646086353.125181,99,30,1
1646086353.126521,105,30,1
1646086353.1278348,101,30,1
1646086353.129034,92,30,1
1646086353.130222,85,30,1
1646086353.131524,84,30,1
1646086353.134028,92,30,1
1646086353.136535,96,30,1
1646086353.137727,97,30,1
1646086353.139019,88,30,1
1646086353.141512,73,30,1
1646086353.144018,73,30,1
1646086353.145212,69,30,1
1646086353.147702,56,30,1
1646086353.14902,58,30,1
1646086353.151553,81,30,1
1646086353.152787,90,30,1
1646086353.155242,87,30,1
1646086353.157697,81,30,1
1646086353.1590242,77,30,1
1646086353.161479,74,30,1
1646086353.1627781,76,30,1
1646086353.1652448,80,30,1
1646086353.166543,70,30,1
1646086353.169067,60,30,1
1646086353.17025,59,30,1
1646086353.172775,57,30,1
1646086353.175284,56,30,1
1646086353.17647,64,30,1
1646086353.179034,68,30,1
1646086353.1802409,68,30,1
1646086353.182784,65,30,1
1646086353.184022,58,30,1
1646086353.18652,58,30,1
1646086353.189035,65,30,1
1646086353.190248,70,30,1
1646086353.19272,69,30,1
1646086353.19402,60,30,1
1646086353.196497,56,30,1
1646086353.1977699,52,30,1
1646086353.2002099,50,30,1
1646086353.201694,44,30,1
1646086353.2040472,45,30,1
1646086353.20652,51,30,1
1646086353.2077708,53,30,1
1646086353.210204,51,30,1
1646086353.211512,51,30,1
1646086353.2140338,51,30,1
1646086353.215234,48,30,1
1646086353.21774,39,30,1
1646086353.220153,32,30,1
1646086353.221478,28,30,1
1646086353.2227561,26,30,1
1646086353.225259,20,30,1
1646086353.22777,21,30,1
1646086353.229023,28,30,1
1646086353.231491,34,30,1
1646086353.2327628,35,30,1
1646086353.2352488,38,30,1
1646086353.237822,40,30,1
1646086353.2389429,39,30,1
1646086353.241515,41,30,1
1646086353.242736,37,30,1
1646086353.245232,25,30,1
1646086353.246509,17,30,1
1646086353.249037,21,30,1
1646086353.251512,25,30,1
1646086353.252815,19,30,1
1646086353.254004,8,30,1
1646086353.256518,10,30,1
1646086353.2590752,18,30,1
1646086353.260212,19,30,1
1646086353.262749,18,30,1
1646086353.264025,19,30,1
1646086353.266477,17,30,1
1646086353.269004,9,30,1
1646086353.270249,6,30,1
1646086353.272773,5,30,1
1646086353.274035,8,30,1
1646086353.276455,12,30,1
1646086353.277792,17,30,1
1646086353.28021,19,30,1
1646086353.282766,17,30,1
1646086353.2840729,4,30,1
1646086353.285214,-4,30,1
1646086353.287771,2,30,1
1646086353.2902489,12,30,1
1646086353.291542,19,30,1
1646086353.293925,22,30,1
1646086353.29921,13,30,1
1646086353.3002481,6,30,1
1646086353.3015082,0,30,1
1646086353.302745,-9,30,1
1646086353.304141,-13,30,1
1646086353.3065221,-6,30,1
1646086353.307771,6,30,1
1646086353.309025,7,30,1
1646086353.311467,0,30,1
1646086353.3140311,9,30,1
1646086353.315246,27,30,1
1646086353.316538,37,30,1
1646086353.3190012,35,30,1
1646086353.3214982,34,30,1
1646086353.3228319,34,30,1
1646086353.325248,23,30,1
1646086353.326561,18,30,1
1646086353.329001,19,30,1
1646086353.331506,23,30,1
1646086353.332771,33,30,1
1646086353.335233,42,30,1
1646086353.336514,37,30,1
1646086353.339073,34,30,1
1646086353.340231,36,30,1
1646086353.3427498,28,30,1
1646086353.345245,11,30,1
1646086353.346525,-3,30,1
1646086353.34774,-3,30,1
1646086353.350239,7,30,1
1646086353.352811,16,30,1
1646086353.354035,16,30,1
1646086353.35648,18,30,1
1646086353.35774,27,30,1
1646086353.410358,23,30,1
1646086353.4114811,11,30,1
1646086353.412765,16,30,1
1646086353.4140742,28,30,1
1646086353.418768,42,30,1
1646086353.4188411,40,30,1
1646086353.418907,34,30,1
1646086353.4189708,27,30,1
1646086353.419055,28,30,1
1646086353.4191191,37,30,1
1646086353.419183,41,30,1
1646086353.4192472,37,30,1
1646086353.41931,27,30,1
1646086353.419374,20,30,1
1646086353.4194381,17,30,1
1646086353.419502,17,30,1
1646086353.419565,17,30,1
1646086353.419629,9,30,1
1646086353.419693,1,30,1
1646086353.419756,1,30,1
1646086353.419879,6,30,1
