timestamp,raw_value,attention,label
1646086486.1155899,-1,53,1
1646086486.118183,3,53,1
1646086486.118256,6,53,1
1646086486.1193159,13,53,1
1646086486.1205828,22,53,1
1646086486.121836,21,53,1
1646086486.124286,16,53,1
1646086486.1255958,8,53,1
1646086486.126839,4,53,1
1646086486.129333,3,53,1
1646086486.130608,3,53,1
1646086486.133088,2,53,1
1646086486.135596,2,53,1
1646086486.136838,3,53,1
1646086486.1393542,2,53,1
1646086486.140586,-1,53,1
1646086486.142955,5,53,1
1646086486.145517,18,53,1
1646086486.146782,24,53,1
1646086486.149455,22,53,1
1646086486.1504042,17,53,1
1646086486.152808,8,53,1
1646086486.1540868,6,53,1
1646086486.156758,11,53,1
1646086486.15801,20,53,1
1646086486.160481,22,53,1
1646086486.163059,16,53,1
1646086486.164344,8,53,1
1646086486.166694,5,53,1
1646086486.167836,8,53,1
1646086486.170913,7,53,1
1646086486.1716638,9,53,1
1646086486.174137,18,53,1
1646086486.176555,24,53,1
1646086486.177744,19,53,1
1646086486.17906,8,53,1
1646086486.181537,6,53,1
1646086486.1840792,12,53,1
1646086486.185302,23,53,1
1646086486.187735,27,53,1
1646086486.188988,18,53,1
1646086486.191539,4,53,1
1646086486.193985,4,53,1
1646086486.195394,8,53,1
1646086486.197946,6,53,1
1646086486.199201,2,53,1
1646086486.20177,-2,53,1
1646086486.202941,-5,53,1
1646086486.2056088,-2,53,1
1646086486.208117,2,53,1
1646086486.209363,1,53,1
1646086486.211788,1,53,1
1646086486.213066,3,53,1
1646086486.2182138,5,53,1
1646086486.219264,11,53,1
1646086486.2205591,21,53,1
1646086486.22177,24,53,1
1646086486.223084,20,53,1
1646086486.224299,17,53,1
1646086486.226872,18,53,1
1646086486.2292979,17,53,1
1646086486.2305868,18,53,1
1646086486.232939,23,53,1
1646086486.234167,28,53,1
1646086486.2368178,25,53,1
1646086486.239296,21,53,1
1646086486.2405288,18,53,1
1646086486.241826,18,53,1
1646086486.24431,21,53,1
1646086486.246896,22,53,1
1646086486.248003,21,53,1
1646086486.250514,19,53,1
1646086486.251863,28,53,1
1646086486.2542741,44,53,1
1646086486.2568152,50,53,1
1646086486.2580962,49,53,1
1646086486.2606342,49,53,1
1646086486.261788,53,53,1
1646086486.264312,57,53,1
1646086486.265579,55,53,1
1646086486.268079,49,53,1
1646086486.270574,43,53,1
1646086486.271828,42,53,1
1646086486.2730398,39,53,1
1646086486.275564,35,53,1
1646086486.27806,36,53,1
1646086486.2793431,48,53,1
1646086486.2818172,50,53,1
1646086486.283075,41,53,1
1646086486.285553,34,53,1
1646086486.286788,32,53,1
1646086486.338045,35,53,1
1646086486.339299,40,53,1
1646086486.340543,38,53,1
1646086486.341931,32,53,1
1646086486.3463721,32,53,1
1646086486.346446,41,53,1
1646086486.3465111,51,53,1
1646086486.346574,54,53,1
1646086486.346637,50,53,1
1646086486.3467011,48,53,1
1646086486.346764,52,53,1
1646086486.346826,52,53,1
1646086486.346889,49,53,1
1646086486.346952,40,53,1
1646086486.347015,28,53,1
1646086486.3470778,20,53,1
1646086486.34722,20,53,1
1646086486.347369,22,53,1
1646086486.347444,24,53,1
1646086486.347507,28,53,1
1646086486.34757,37,53,1
1646086486.3476338,43,53,1
1646086486.347788,41,53,1
1646086486.3478541,36,53,1
1646086486.347917,26,53,1
1646086486.34798,11,53,1
1646086486.3480651,8,53,1
1646086486.3481832,23,53,1
1646086486.349354,37,53,1
1646086486.349426,36,53,1
1646086486.3505669,22,53,1
1646086486.351883,20,53,1
1646086486.353034,24,53,1
1646086486.354301,24,53,1
1646086486.355583,21,53,1
1646086486.357962,19,53,1
1646086486.360595,11,53,1
1646086486.36303,8,53,1
1646086486.36434,9,53,1
1646086486.3656409,13,53,1
1646086486.36683,19,53,1
1646086486.369303,19,53,1
1646086486.371844,10,53,1
1646086486.373097,6,53,1
1646086486.375597,11,53,1
1646086486.376893,22,53,1
1646086486.37929,19,53,1
1646086486.3818371,20,53,1
1646086486.383073,29,53,1
1646086486.385599,40,53,1
1646086486.3868082,49,53,1
1646086486.3893409,53,53,1
1646086486.390583,52,53,1
1646086486.3931708,48,53,1
1646086486.3943338,42,53,1
1646086486.396845,49,53,1
1646086486.401844,57,53,1
1646086486.4030662,60,53,1
1646086486.404345,54,53,1
1646086486.405568,51,53,1
1646086486.406843,54,53,1
1646086486.408076,64,53,1
1646086486.410524,67,53,1
1646086486.413044,67,53,1
1646086486.414325,66,53,1
1646086486.4169111,67,53,1
1646086486.418089,69,53,1
1646086486.4204879,68,53,1
1646086486.421847,66,53,1
1646086486.424362,66,53,1
1646086486.426794,57,53,1
1646086486.428076,45,53,1
1646086486.429354,39,53,1
1646086486.431882,40,53,1
1646086486.434326,48,53,1
1646086486.43564,54,53,1
1646086486.43803,60,53,1
1646086486.4393349,66,53,1
1646086486.441895,68,53,1
1646086486.44305,66,53,1
1646086486.445601,60,53,1
1646086486.4480782,52,53,1
1646086486.449337,40,53,1
1646086486.451854,35,53,1
1646086486.452953,36,53,1
1646086486.455654,40,53,1
1646086486.458045,50,53,1
1646086486.459332,55,53,1
1646086486.460576,50,53,1
1646086486.463097,37,53,1
1646086486.465547,39,53,1
1646086486.466843,48,53,1
1646086486.4693289,50,53,1
1646086486.470571,40,53,1
1646086486.473065,38,53,1
1646086486.475623,36,53,1
1646086486.476877,33,53,1
1646086486.4780428,34,53,1
1646086486.4805388,39,53,1
1646086486.483078,43,53,1
1646086486.484384,36,53,1
1646086486.486811,28,53,1
1646086486.488087,28,53,1
1646086486.490601,29,53,1
1646086486.4930618,37,53,1
1646086486.4942951,40,53,1
1646086486.496845,35,53,1
1646086486.499392,27,53,1
1646086486.500563,27,53,1
1646086486.501805,38,53,1
1646086486.5043452,43,53,1
1646086486.50684,39,53,1
1646086486.50809,37,53,1
1646086486.510571,42,53,1
1646086486.511842,44,53,1
1646086486.514338,38,53,1
1646086486.515599,39,53,1
1646086486.518085,50,53,1
1646086486.5204968,54,53,1
1646086486.521803,49,53,1
1646086486.523093,40,53,1
1646086486.525643,39,53,1
1646086486.528053,36,53,1
1646086486.529341,32,53,1
1646086486.531811,24,53,1
1646086486.533077,25,53,1
1646086486.535603,38,53,1
1646086486.536811,50,53,1
1646086486.539356,49,53,1
1646086486.541866,41,53,1
1646086486.542938,40,53,1
1646086486.545559,49,53,1
1646086486.546842,57,53,1
1646086486.5493262,57,53,1
1646086486.5517912,56,53,1
1646086486.553062,49,53,1
1646086486.5543182,34,53,1
1646086486.556743,20,53,1
1646086486.559361,22,53,1
1646086486.5605829,38,53,1
1646086486.563073,42,53,1
1646086486.5643468,34,53,1
1646086486.56691,29,53,1
1646086486.569311,41,53,1
1646086486.570591,55,53,1
1646086486.5731359,59,53,1
1646086486.574326,59,53,1
1646086486.57682,65,53,1
1646086486.5781472,67,53,1
1646086486.580632,61,53,1
1646086486.637022,56,53,1
1646086486.6380951,58,53,1
1646086486.6393652,66,53,1
1646086486.641888,72,53,1
1646086486.660328,75,53,1
1646086486.660424,76,53,1
1646086486.66049,74,53,1
1646086486.6605551,73,53,1
1646086486.660618,73,53,1
1646086486.660681,74,53,1
1646086486.660744,70,53,1
1646086486.660807,68,53,1
1646086486.6608698,72,53,1
1646086486.660933,74,53,1
1646086486.660995,70,53,1
1646086486.661058,64,53,1
1646086486.6611211,60,53,1
1646086486.6611829,64,53,1
1646086486.661246,59,53,1
1646086486.6613078,52,53,1
1646086486.6613781,42,53,1
1646086486.661553,38,53,1
1646086486.66163,44,53,1
1646086486.661697,55,53,1
1646086486.661762,60,53,1
1646086486.6618261,60,53,1
1646086486.661891,57,53,1
1646086486.6619542,57,53,1
1646086486.6620219,58,53,1
1646086486.6620858,60,53,1
1646086486.66215,57,53,1
1646086486.6622138,49,53,1
1646086486.663077,38,53,1
1646086486.664661,38,53,1
1646086486.6653912,45,53,1
1646086486.667878,52,53,1
1646086486.667925,52,53,1
1646086486.667968,51,53,1
1646086486.668011,50,53,1
1646086486.668054,52,53,1
1646086486.668097,54,53,1
1646086486.668139,53,53,1
1646086486.668181,49,53,1
1646086486.671869,45,53,1
1646086486.673093,44,53,1
1646086486.6755798,44,53,1
1646086486.676825,45,53,1
1646086486.676898,50,53,1
1646086486.67807,52,53,1
1646086486.6793401,53,53,1
1646086486.680543,45,53,1
1646086486.681814,37,53,1
1646086486.6855319,36,53,1
1646086486.686851,41,53,1
1646086486.68809,39,53,1
1646086486.6893141,32,53,1
1646086486.6918452,29,53,1
1646086486.6943371,40,53,1
1646086486.6955361,48,53,1
1646086486.699339,49,53,1
1646086486.7005901,45,53,1
1646086486.7019572,40,53,1
1646086486.7044108,37,53,1
1646086486.705546,37,53,1
1646086486.7080991,39,53,1
1646086486.709306,36,53,1
1646086486.711904,21,53,1
1646086486.7131689,10,53,1
1646086486.7419589,17,53,1
1646086486.7430348,32,53,1
1646086486.744354,41,53,1
1646086486.745526,40,53,1
1646086486.746816,39,53,1
1646086486.751738,43,53,1
1646086486.751811,48,53,1
1646086486.751877,44,53,1
1646086486.7519412,41,53,1
1646086486.752005,41,53,1
1646086486.752068,42,53,1
1646086486.7521322,44,53,1
1646086486.7521951,45,53,1
1646086486.752258,45,53,1
1646086486.752321,49,53,1
1646086486.752384,54,53,1
1646086486.752447,59,53,1
1646086486.752991,60,53,1
1646086486.7543402,59,53,1
1646086486.756787,53,53,1
1646086486.758104,48,53,1
1646086486.758177,45,53,1
1646086486.759359,45,53,1
1646086486.76057,42,53,1
1646086486.7618449,39,53,1
1646086486.764307,39,53,1
1646086486.7680871,45,53,1
1646086486.769372,53,53,1
1646086486.773123,55,53,1
1646086486.774307,53,53,1
1646086486.775537,52,53,1
1646086486.776835,51,53,1
1646086486.778084,51,53,1
1646086486.779308,52,53,1
1646086486.781812,53,53,1
1646086486.7843509,50,53,1
1646086486.785524,45,53,1
1646086486.789362,49,53,1
1646086486.790566,54,53,1
1646086486.7917829,57,53,1
1646086486.794364,57,53,1
1646086486.7955809,52,53,1
1646086486.796789,44,53,1
1646086486.799454,43,53,1
1646086486.801779,49,53,1
1646086486.803082,53,53,1
1646086486.80435,55,53,1
1646086486.806863,53,53,1
1646086486.810555,48,53,1
1646086486.811862,43,53,1
1646086486.813102,50,53,1
1646086486.8155599,54,53,1
1646086486.816851,53,53,1
1646086486.8180952,54,53,1
1646086486.820528,59,53,1
1646086486.823122,65,53,1
1646086486.8255858,66,53,1
1646086486.826781,68,53,1
1646086486.828141,68,53,1
1646086486.830474,64,53,1
1646086486.833081,58,53,1
1646086486.834343,58,53,1
1646086486.8355389,60,53,1
1646086486.8380952,57,53,1
1646086486.840511,57,53,1
1646086486.8419251,57,53,1
1646086486.844342,57,53,1
1646086486.845539,57,53,1
1646086486.848087,56,53,1
1646086486.8505359,53,53,1
1646086486.8517592,52,53,1
1646086486.854346,51,53,1
1646086486.855503,52,53,1
1646086486.858098,54,53,1
1646086486.859424,55,53,1
1646086486.8618171,55,53,1
1646086486.863049,54,53,1
1646086486.865576,54,53,1
1646086486.868077,55,53,1
1646086486.869355,57,53,1
1646086486.8717902,56,53,1
1646086486.8730829,52,53,1
1646086486.87554,49,53,1
1646086486.876849,44,53,1
1646086486.879311,43,53,1
1646086486.881856,41,53,1
1646086486.88312,36,53,1
1646086486.885545,35,53,1
1646086486.886784,35,53,1
1646086486.945802,36,53,1
1646086486.94688,36,53,1
1646086486.95055,38,53,1
1646086486.9518452,40,53,1
1646086486.954008,38,53,1
1646086486.95408,33,53,1
1646086486.954145,28,53,1
1646086486.95421,37,53,1
1646086486.9542909,48,53,1
1646086486.954355,49,53,1
1646086486.954419,48,53,1
1646086486.954483,44,53,1
1646086486.954546,44,53,1
1646086486.9546099,44,53,1
1646086486.9546728,42,53,1
1646086486.9547362,40,53,1
1646086486.9547992,40,53,1
1646086486.954862,40,53,1
1646086486.954925,37,53,1
1646086486.954988,34,53,1
1646086486.9550521,34,53,1
1646086486.955123,39,53,1
1646086486.955304,42,53,1
1646086486.9553752,42,53,1
1646086486.955441,41,53,1
1646086486.9555058,40,53,1
1646086486.955571,36,53,1
1646086486.9556348,27,53,1
1646086486.9557,24,53,1
1646086486.955764,24,53,1
1646086486.955828,27,53,1
1646086486.955892,35,53,1
1646086486.9568698,38,53,1
1646086486.956943,35,53,1
1646086486.9580538,26,53,1
1646086486.9593349,24,53,1
1646086486.961903,23,53,1
1646086486.96308,20,53,1
1646086486.96432,13,53,1
1646086486.965544,13,53,1
1646086486.9681559,20,53,1
1646086486.969312,25,53,1
1646086486.9705222,27,53,1
1646086486.973147,23,53,1
1646086486.975507,19,53,1
1646086486.9768162,21,53,1
1646086486.979379,24,53,1
1646086486.980552,22,53,1
1646086486.9830568,19,53,1
1646086486.984323,18,53,1
1646086486.986819,23,53,1
1646086486.9880471,33,53,1
1646086486.990506,38,53,1
1646086486.993123,38,53,1
1646086486.994308,35,53,1
1646086486.9968,33,53,1
1646086486.998083,36,53,1
1646086487.000585,43,53,1
1646086487.008117,49,69,1
1646086487.009311,49,69,1
1646086487.010543,49,69,1
1646086487.013091,48,69,1
1646086487.014347,43,69,1
1646086487.0155258,41,69,1
1646086487.016872,41,69,1
1646086487.018104,43,69,1
1646086487.019339,42,69,1
1646086487.0218291,37,69,1
1646086487.023089,33,69,1
1646086487.024318,34,69,1
1646086487.0255082,34,69,1
1646086487.02805,32,69,1
1646086487.030538,27,69,1
1646086487.0318542,28,69,1
1646086487.03307,33,69,1
1646086487.035431,34,69,1
1646086487.038052,33,69,1
1646086487.039356,34,69,1
1646086487.041857,32,69,1
1646086487.043055,33,69,1
1646086487.04554,36,69,1
1646086487.046807,35,69,1
1646086487.049349,28,69,1
1646086487.050528,26,69,1
1646086487.053123,32,69,1
1646086487.055535,36,69,1
1646086487.0568361,37,69,1
1646086487.059341,34,69,1
1646086487.0605419,32,69,1
1646086487.06305,36,69,1
1646086487.0655758,39,69,1
1646086487.0668218,39,69,1
1646086487.068063,37,69,1
1646086487.0706098,35,69,1
1646086487.0731158,35,69,1
1646086487.074348,32,69,1
1646086487.076805,26,69,1
1646086487.07813,27,69,1
1646086487.0805671,32,69,1
1646086487.083101,35,69,1
1646086487.084287,36,69,1
1646086487.085547,38,69,1
1646086487.088119,37,69,1
1646086487.090559,36,69,1
1646086487.091823,35,69,1
1646086487.094329,33,69,1
1646086487.095547,34,69,1
1646086487.0981288,35,69,1
1646086487.100539,32,69,1
1646086487.101831,28,69,1
1646086487.104337,32,69,1
1646086487.105509,34,69,1
1646086487.108073,32,69,1
1646086487.109347,29,69,1
1646086487.111823,33,69,1
1646086487.1130722,33,69,1
1646086487.115597,32,69,1
1646086487.118051,34,69,1
1646086487.119349,37,69,1
1646086487.121872,40,69,1
1646086487.123091,40,69,1
1646086487.12551,41,69,1
1646086487.126824,41,69,1
1646086487.13328,40,69,1
1646086487.1344361,37,69,1
1646086487.13551,35,69,1
1646086487.136821,32,69,1
1646086487.138154,28,69,1
1646086487.13934,27,69,1
1646086487.141726,29,69,1
1646086487.1430888,32,69,1
1646086487.1443489,34,69,1
1646086487.1467829,39,69,1
1646086487.149375,39,69,1
1646086487.1505432,35,69,1
1646086487.154359,29,69,1
1646086487.155318,27,69,1
1646086487.156855,28,69,1
1646086487.1592991,33,69,1
1646086487.160545,36,69,1
1646086487.161858,35,69,1
1646086487.164293,33,69,1
1646086487.166854,35,69,1
1646086487.168044,37,69,1
1646086487.170597,40,69,1
1646086487.1718452,40,69,1
1646086487.174332,40,69,1
1646086487.175574,38,69,1
1646086487.178062,38,69,1
1646086487.1793149,40,69,1
1646086487.1818528,40,69,1
1646086487.184347,38,69,1
1646086487.185544,37,69,1
1646086487.2542982,36,69,1
1646086487.255531,34,69,1
1646086487.256792,35,69,1
1646086487.269342,36,69,1
1646086487.272202,34,69,1
1646086487.272274,33,69,1
1646086487.2723389,35,69,1
1646086487.272404,40,69,1
1646086487.2724679,42,69,1
1646086487.272532,41,69,1
1646086487.272595,38,69,1
1646086487.272778,38,69,1
1646086487.27285,38,69,1
1646086487.272914,40,69,1
1646086487.2729778,40,69,1
1646086487.273041,40,69,1
1646086487.273104,41,69,1
1646086487.2731678,40,69,1
1646086487.273231,40,69,1
1646086487.273294,39,69,1
1646086487.273358,37,69,1
1646086487.273421,35,69,1
1646086487.273484,36,69,1
1646086487.2735481,36,69,1
1646086487.273611,34,69,1
1646086487.273675,33,69,1
1646086487.273738,35,69,1
1646086487.273802,35,69,1
1646086487.273878,32,69,1
1646086487.274074,29,69,1
1646086487.274144,32,69,1
1646086487.27421,35,69,1
1646086487.274274,41,69,1
1646086487.274338,49,69,1
1646086487.2744021,54,69,1
1646086487.274465,53,69,1
1646086487.274529,53,69,1
1646086487.274592,55,69,1
1646086487.274656,57,69,1
1646086487.275689,58,69,1
1646086487.275761,55,69,1
1646086487.275826,53,69,1
1646086487.275896,51,69,1
1646086487.275959,50,69,1
1646086487.276792,51,69,1
1646086487.278091,52,69,1
1646086487.280531,54,69,1
1646086487.281823,53,69,1
1646086487.283039,49,69,1
1646086487.2843149,42,69,1
1646086487.286029,41,69,1
1646086487.3008158,42,69,1
1646086487.3018088,43,69,1
1646086487.3030841,42,69,1
1646086487.3043149,40,69,1
1646086487.305668,41,69,1
1646086487.305741,44,69,1
1646086487.305807,44,69,1
1646086487.30587,40,69,1
1646086487.3059351,39,69,1
1646086487.306848,41,69,1
1646086487.3080971,44,69,1
1646086487.314317,42,69,1
1646086487.315546,41,69,1
1646086487.3168352,41,69,1
1646086487.318076,42,69,1
1646086487.3193002,43,69,1
1646086487.320514,43,69,1
1646086487.323123,44,69,1
1646086487.3243158,42,69,1
1646086487.325548,41,69,1
1646086487.3267899,42,69,1
1646086487.3280609,40,69,1
1646086487.330543,39,69,1
1646086487.3318279,40,69,1
1646086487.33442,41,69,1
1646086487.336874,40,69,1
1646086487.3379,39,69,1
1646086487.340607,40,69,1
1646086487.341839,42,69,1
1646086487.344296,42,69,1
1646086487.345595,43,69,1
1646086487.348032,44,69,1
1646086487.350544,43,69,1
1646086487.35186,43,69,1
1646086487.354372,44,69,1
1646086487.355514,44,69,1
1646086487.382894,42,69,1
1646086487.384075,40,69,1
1646086487.385292,37,69,1
1646086487.387978,36,69,1
1646086487.391187,36,69,1
1646086487.391259,38,69,1
1646086487.3913238,38,69,1
1646086487.391388,38,69,1
1646086487.3914518,38,69,1
1646086487.3915148,37,69,1
1646086487.391579,36,69,1
1646086487.391642,37,69,1
1646086487.3917062,39,69,1
1646086487.3917701,40,69,1
1646086487.391833,42,69,1
1646086487.3918972,42,69,1
1646086487.393097,42,69,1
1646086487.394285,43,69,1
1646086487.396826,43,69,1
1646086487.398171,44,69,1
1646086487.398258,44,69,1
1646086487.399302,44,69,1
1646086487.4006028,42,69,1
1646086487.402944,40,69,1
1646086487.4055371,41,69,1
1646086487.406877,43,69,1
1646086487.408021,44,69,1
1646086487.410536,44,69,1
1646086487.413049,43,69,1
1646086487.414307,42,69,1
1646086487.417022,42,69,1
1646086487.417801,42,69,1
1646086487.4205902,44,69,1
1646086487.421796,45,69,1
1646086487.424362,44,69,1
1646086487.425534,44,69,1
1646086487.428066,44,69,1
1646086487.430569,44,69,1
1646086487.43187,44,69,1
1646086487.434317,44,69,1
1646086487.436825,42,69,1
1646086487.438057,42,69,1
1646086487.439287,42,69,1
1646086487.441813,42,69,1
1646086487.443052,41,69,1
1646086487.445547,41,69,1
1646086487.448097,42,69,1
1646086487.449315,42,69,1
1646086487.451822,42,69,1
1646086487.4531012,42,69,1
1646086487.455511,42,69,1
1646086487.456825,42,69,1
1646086487.460573,42,69,1
1646086487.461787,42,69,1
1646086487.463066,42,69,1
1646086487.465649,41,69,1
1646086487.466791,41,69,1
1646086487.469316,40,69,1
1646086487.470547,40,69,1
1646086487.473061,39,69,1
1646086487.475532,39,69,1
1646086487.476825,38,69,1
1646086487.4792829,37,69,1
1646086487.481823,36,69,1
1646086487.483101,37,69,1
1646086487.4843578,38,69,1
1646086487.53692,38,69,1
1646086487.538052,36,69,1
1646086487.539386,36,69,1
1646086487.540521,36,69,1
1646086487.5418298,36,69,1
1646086487.546635,34,69,1
1646086487.546706,33,69,1
1646086487.546771,33,69,1
1646086487.546836,33,69,1
1646086487.5469,33,69,1
1646086487.546963,32,69,1
1646086487.547026,33,69,1
1646086487.5470898,33,69,1
1646086487.547153,33,69,1
1646086487.547216,33,69,1
1646086487.5472791,33,69,1
1646086487.547342,32,69,1
1646086487.5474062,29,69,1
1646086487.5474691,28,69,1
1646086487.547532,27,69,1
1646086487.547595,27,69,1
1646086487.547751,27,69,1
